size,threads,IC,Cycles,CPI,CT,ET,L1_dcache_miss_rate,L1_dcache_misses,L1_dcache_accesses,branches,branch_misses
16777216,4,926392580,1351508251,1.458894,0.117852,0.159278,0.374333,159343430,425672854,134070792,6728
16777216,4,241670916,983267120,4.068620,0.125299,0.123202,0.249118,24618892,98824079,33316065,4638
