IC,Cycles,CPI,CT_ns,ET_s,DL1_miss_rate,DL1_misses,DL1_accesses
313257,77224,0.246520,0.647467,0.000050,0.004927,675,137007
9674791423,9970347842,1.030549,0.201266,2.006697,0.232798,1000498784,4297712614
77388937866,133795262380,1.728868,0.201059,26.900683,0.314096,10800667982,34386505099
