IC,Cycles,CPI,CT_ns,ET_s,DL1_miss_rate,DL1_misses,DL1_accesses
103188,84481,0.818710,0.852263,0.000072,-nan,0,0
5806601123,2935985713,0.505629,0.193003,0.566654,-nan,0,0
32186373251,19102158598,0.593486,0.192837,3.683597,-nan,0,0
218250778373,123037579130,0.563744,0.192809,23.722801,-nan,0,0
