config,reps,size,size2,threads,arg1,arg2,arg3,function,IC,Cycles,CPI,CT,ET,L1_dcache_miss_rate,L1_dcache_misses,L1_dcache_accesses,branches,branch_misses
half_and_half,1,1000000000,16384,1,1,1,1,run_private2_histogram,38004485492,13350740930,0.351294,0.204741,2.733448,0.003301,79220080,24002072032,1000799866,4877
half_and_half,1,1000000000,16384,2,1,1,1,run_private2_histogram,38006357234,20716504279,0.545080,0.104515,2.165194,0.002906,69758701,24002917659,1001135126,8828
half_and_half,1,1000000000,16384,3,1,1,1,run_private2_histogram,33648782939,17616690653,0.523546,0.106907,1.883353,0.006509,138324878,21250912925,886337068,9115
half_and_half,1,1000000000,16384,4,1,1,1,run_private2_histogram,26854201068,15741654437,0.586190,0.105788,1.665286,0.005579,94612364,16959687015,707455084,9348
