config,reps,size,size2,threads,arg1,arg2,arg3,function,IC,Cycles,CPI,CT,ET,L1_dcache_miss_rate,L1_dcache_misses,L1_dcache_accesses,branches,branch_misses
pcores_only,1,1000000000,16384,1,1,1,1,run_private2_histogram,38003301006,13216255567,0.347766,0.193155,2.552780,-nan,0,0,1000590563,2849
pcores_only,1,1000000000,16384,2,1,1,1,run_private2_histogram,38006108899,21703362274,0.571049,0.100714,2.185832,-nan,0,0,1001102486,8840
pcores_only,1,1000000000,16384,3,1,1,1,run_private2_histogram,38006633286,23480966122,0.617812,0.071479,1.678389,-nan,0,0,1001197696,11293
pcores_only,1,1000000000,16384,4,1,1,1,run_private2_histogram,38007072419,24164274715,0.635784,0.055711,1.346206,-nan,0,0,1001280159,13262
