ET,FileInput,CPU_Kernel,GPU_Kernel,Host2GPU,GPU2Host
512,0.662744, 0.005438, 0.000000, 0.000036, 0.117497, 0.000045
0.004352, 0.004013, 0.000222, 0.000000, 0.000000, 0.000000
512,0.528224, 0.003441, 0.000000, 0.000036, 0.113809, 0.000042
0.003938, 0.003467, 0.000340, 0.000000, 0.000000, 0.000000
