reps,size,size2,threads,arg1,arg2,arg3,function,IC,Cycles,CPI,CT,ET,L1_dcache_miss_rate,L1_dcache_misses,L1_dcache_accesses,branches,branch_misses
1,1000000000,16384,1,1,1,1,run_private2_histogram,27165266917,7981633545,0.293818,0.304906,2.433647,0.007973,90809584,11389308979,714711005,23754
1,1000000000,16384,2,1,1,1,run_private2_histogram,27239817869,8006743463,0.293935,0.154764,1.239156,0.007929,90674111,11435536635,719445198,106941
1,1000000000,16384,3,1,1,1,run_private2_histogram,27313766623,7969167566,0.291764,0.106415,0.848039,0.007943,90454093,11388318926,719189148,30509
1,1000000000,16384,4,1,1,1,run_private2_histogram,27151006378,8008513833,0.294962,0.080078,0.641302,0.008011,91149091,11377715536,713199079,31762
1,1000000000,16384,5,1,1,1,run_private2_histogram,27018903874,7970443758,0.294995,0.065476,0.521872,0.007952,91116830,11458971373,714533319,38018
1,1000000000,16384,6,1,1,1,run_private2_histogram,27162158532,7937046352,0.292210,0.055893,0.443623,0.007899,90852419,11502195527,720138628,40996
