config,reps,size,size2,threads,arg1,arg2,arg3,function,IC,Cycles,CPI,CT,ET,L1_dcache_miss_rate,L1_dcache_misses,L1_dcache_accesses,branches,branch_misses
half_and_half,1,1000000000,16384,1,1,1,1,run_private2_histogram,38003401635,12618845613,0.332045,0.204526,2.580881,0.001843,44226484,24001602523,1000611549,2352
half_and_half,1,1000000000,16384,2,1,1,1,run_private2_histogram,38004892400,21456948413,0.564584,0.102584,2.201150,0.000163,3901892,24002243079,1000899542,7907
half_and_half,1,1000000000,16384,3,1,1,1,run_private2_histogram,22829506880,21520568423,0.942665,0.108810,2.341658,0.002897,41762762,14417837385,601516375,7065
